,artistName,count,genres,popularity
89,Koreless,37,"['future garage', 'scottish electronic', 'weightless', 'wonky']",31
90,Eva808,36,"['classic dubstep', 'deep dubstep', 'instrumental grime', 'minimal dubstep', 'neo grime']",21
91,Cut Copy,36,"['alternative dance', 'australian dance', 'australian electropop', 'electronic rock', 'electronica', 'indietronica', 'neo-synthpop']",48
92,Maribou State,36,"['electronica', 'future garage', 'indie soul']",64
93,Biig Piig,36,"['indie soul', 'modern alternative pop']",60
94,Little Simz,35,"['alternative r&b', 'escape room', 'trap queen']",61
95,Lonnie Liston Smith,35,['jazz funk'],41
96,Jouska,34,['oslo indie'],16
97,BackRoad Gee,34,"['grime', 'uk hip hop']",48
98,D-Block Europe,33,"['melodic drill', 'uk hip hop']",71
99,Skrillex,33,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",77
100,Actress,33,"['fluxwork', 'hauntology', 'intelligent dance music', 'microhouse', 'wonky']",44
101,Burial,32,"['classic dubstep', 'electronica', 'future garage', 'hauntology', 'intelligent dance music', 'trip hop', 'uk bass', 'wonky']",50
102,Jordan Stephens,32,[],37
103,Mahmood,32,"['italian adult pop', 'italian pop']",60
104,Mild Minds,32,['australian dance'],60
105,Rihanna,32,"['barbadian pop', 'pop', 'urban contemporary']",89
106,Leon Vynehall,31,"['ambient house', 'deep house', 'electronica', 'float house', 'future garage', 'microhouse', 'uk house', 'wonky']",46
107,Dusky,31,"['deep house', 'future garage', 'house']",44
108,SOPHIE,31,['bedroom soul'],51
109,ANOHNI,31,"['art pop', 'chamber psych', 'experimental pop', 'metropopolis', 'transpop']",39
110,Sam Wise,30,['uk alternative hip hop'],43
111,The Mouse Outfit,30,"['manchester hip hop', 'uk alternative hip hop']",42
112,Sassy 009,30,['electra'],36
113,Shinichiro Yokota,29,"['japanese electronic', 'japanese house']",34
114,Wesley Joseph,29,['uk alternative hip hop'],55
115,Run The Jewels,29,"['alternative hip hop', 'escape room', 'hip hop', 'political hip hop']",60
116,Let's Eat Grandma,28,"['art pop', 'chamber psych', 'east anglia indie']",38
117,Flava D,27,"['bass house', 'old school bassline', 'ukg revival']",41
118,Caroline Polachek,27,"['art pop', 'escape room', 'indie pop', 'indietronica']",63
119,St. Vincent,27,"['art pop', 'etherpop', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']",61
120,Romare,27,"['electronica', 'indie soul']",49
121,Meekz,27,"['manchester hip hop', 'uk hip hop']",58
122,KwolleM,26,['uk alternative hip hop'],41
123,Sudan Archives,26,"['afrofuturism', 'alternative r&b', 'experimental r&b', 'indie soul', 'la pop']",54
124,Röyksopp,26,"['downtempo', 'electronica', 'indietronica', 'neo-synthpop', 'trip hop']",61
125,Sam Gellaitry,26,"['future bass', 'scottish electronic', 'vapor twitch']",55
126,SHY FX,26,"['drum and bass', 'jungle', 'ragga jungle']",59
127,Yaya Bey,26,"['alternative r&b', 'experimental r&b']",57
128,Finn Foxell,26,['uk alternative hip hop'],44
129,Frankie Stew and Harvey Gunn,25,['uk alternative hip hop'],50
130,J Hus,25,"['afroswing', 'grime', 'uk hip hop']",65
131,Alice Auer,25,[],40
132,Isabella Lovestory,25,[],45
133,CRO,25,"['ccm', 'christian alternative rock', 'christian music', 'worship']",59
134,Kid Cudi,25,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",80
135,Flying Lotus,24,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",56
136,Stormzy,24,"['grime', 'uk hip hop']",71
137,808INK,24,"['london rap', 'uk alternative hip hop']",37
138,Fuse ODG,23,"['afrobeats', 'azonto']",61
139,Ojerime,23,"['alternative r&b', 'uk contemporary r&b']",50
140,Zebra Katz,23,"['escape room', 'lgbtq+ hip hop', 'vogue']",40
141,Shire T,23,[],38
142,Nia Archives,22,['modern jungle'],58
143,Neutral Milk Hotel,22,"['alternative rock', 'chamber pop', 'elephant 6', 'indie rock', 'lo-fi', 'noise pop']",56
144,Conor Albert,22,[],49
145,Frederic Robinson,21,['munich electronic'],17
146,Hudson Mohawke,21,"['instrumental hip hop', 'purple sound', 'scottish electronic', 'scottish hip hop', 'uk experimental electronic', 'wonky']",44
147,Grove,21,[],63
148,Joy Orbison,21,"['electronica', 'float house', 'future garage', 'wonky']",45
149,Onoe Caponoe,21,['uk alternative hip hop'],37
150,Jacques Greene,21,"['canadian electronic', 'electronica', 'future garage', 'wonky']",43
151,Double Lz,21,"['uk drill', 'uk hip hop']",54
152,2nd Exit,21,"['jazz rap', 'uk alternative hip hop']",43
153,Pa Salieu,21,"['afroswing', 'uk alternative hip hop', 'uk hip hop']",52
154,ROSALÍA,21,"['pop', 'r&b en espanol']",85
155,Giancane,21,"['italian alternative', 'italian indie pop', 'rome indie']",37
156,Gemma Dunleavy,20,['irish pop'],25
157,Princess Nokia,20,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'trap queen']",60
158,Sammy Virji,20,"['bass house', 'bassline', 'old school bassline']",49
159,Joesef,20,"['indie soul', 'uk alternative pop']",58
160,Nines,20,"['grime', 'uk hip hop']",68
161,Lapalux,20,"['future garage', 'wonky']",42
162,Flowdan,20,['grime'],60
163,Fumez The Engineer,20,"['melodic drill', 'uk drill', 'uk hip hop', 'uk melodic rap']",65
164,emir taha,19,['turkish trap pop'],45
165,Jack Beats,19,"['bass house', 'fidget house']",32
166,Belot,19,['chill pop'],23
167,Reek0,19,['uk alternative hip hop'],35
168,Little Dragon,18,"['art pop', 'downtempo', 'electronica', 'gothenburg indie', 'indie soul', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish synthpop', 'trip hop']",61
169,KAYTRANADA,18,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",75
170,Conducta,18,"['bass house', 'old school bassline', 'ukg revival']",42
171,Tom Misch,18,"['indie soul', 'jazz pop']",66
172,BAYNK,18,['vapor soul'],58
173,Saib,18,"['chillhop', 'japanese chillhop', 'lo-fi beats']",54
174,Kwengface,17,"['uk drill', 'uk hip hop']",57
175,Seb Wildblood,17,['float house'],48
176,Outkast,17,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",74
177,Big Zuu,17,"['grime', 'uk hip hop']",43
178,JPEGMAFIA,17,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']",67
179,Pearl Jam,17,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",74
180,Blade Brown,17,[],37
181,Fetty Wap,17,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",70
182,Massimo Pericolo,17,"['italian hip hop', 'trap metal italiana']",63
183,Youngs Teflon,17,"['grime', 'uk drill', 'uk hip hop']",51
184,Björk,17,"['art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']",62
185,Junglepussy,17,"['alternative r&b', 'escape room', 'trap queen']",41
186,Fatima Yamaha,16,['electro house'],42
187,COBRAH,16,"['escape room', 'pink noise']",54
188,Noisia,16,"['breakbeat', 'brostep', 'deep dnb', 'drum and bass', 'dutch dnb', 'neurofunk']",55
189,Ghetts,16,"['grime', 'uk hip hop']",50
190,Cecile Believe,16,"['escape room', 'hyperpop']",33
191,Russ Millions,16,"['melodic drill', 'uk drill']",69
192,Laila Al Habash,16,['italian indie pop'],39
193,ML Buch,16,['danish indie pop'],34
194,Sainté,16,['chill drill'],63
195,Che Lingo,16,['uk alternative hip hop'],46
196,Mona San,16,[],36
197,DJ Seinfeld,16,['lo-fi house'],50
198,Artemas,16,[],38
199,Roots Manuva,16,"['trip hop', 'uk hip hop']",47
200,Chrome Sparks,16,"['chillwave', 'indietronica', 'shimmer psych', 'vapor twitch', 'wonky']",50
201,Kofi Stone,15,['uk alternative hip hop'],53
202,Mowgs,15,"['birmingham hip hop', 'melodic drill', 'uk hip hop']",46
203,Crookers,15,['fidget house'],62
204,Roll Deep,15,['grime'],41
205,The Rolling Stones,15,"['album rock', 'british invasion', 'classic rock', 'rock']",78
206,JXMESC,15,['uk alternative hip hop'],37
207,Cakes da Killa,15,"['escape room', 'lgbtq+ hip hop', 'nyc rap', 'vogue']",35
208,Myd,14,"['filter house', 'french indie pop', 'french indietronica', 'new french touch']",55
209,President T,14,['grime'],33
210,OFB,14,"['atl hip hop', 'rap', 'trap']",79
211,Mushkilla,14,[],29
212,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,14,['experimental electronic'],40
213,Patrice Rushen,14,"['disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul']",55
214,Four Tet,14,"['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']",63
215,Tion Wayne,14,"['london rap', 'uk hip hop']",69
216,Bombay Bicycle Club,14,"['british indie rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'shimmer pop', 'stomp and holler']",57
217,Model Man,13,['uk dance'],46
218,Golin,13,"['glitch pop', 'hyperpop']",26
219,TOKiMONSTA,13,"['chillwave', 'electra', 'indietronica', 'instrumental hip hop', 'wonky']",54
220,Poor Colour Palette,13,[],0
221,The Bug,13,"['early synthpop', 'new wave pop', 'synthpop', 'zolo']",57
222,Tei Shi,13,"['alternative r&b', 'art pop', 'escape room', 'gauze pop', 'shimmer psych', 'spectra', 'vapor pop']",48
223,The Darker the Shadow the Brighter the Light,13,['birmingham hip hop'],21
224,salute,13,['ukg revival'],51
225,Oliver Sim,13,[],45
226,Grace Ives,13,['experimental indie'],47
227,Samuel Organ,13,[],30
228,iamamiwhoami,13,"['dark pop', 'metropopolis', 'neo-synthpop', 'swedish electropop', 'swedish synthpop']",39
229,Swindle,13,['purple sound'],38
230,CASISDEAD,13,"['grime', 'uk alternative hip hop']",40
231,Klaxons,12,"['alternative dance', 'dance-punk', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",50
232,Kilo Kish,12,"['alternative r&b', 'escape room']",47
233,Magnetic Man,12,['classic dubstep'],37
234,SEVEN 7oo,12,['drill italiana'],47
235,JAY1,12,['uk hip hop'],60
236,ENNY,12,['alternative r&b'],55
237,GAIKA,12,"['deconstructed club', 'fluxwork', 'grimewave', 'vogue']",34
238,AJ Tracey,12,"['grime', 'uk hip hop', 'ukg revival']",67
239,Daddy Lumba,12,"['azonto', 'hiplife']",40
240,Childish Gambino,12,"['atl hip hop', 'hip hop', 'rap']",79
241,Kode9,12,"['classic dubstep', 'footwork', 'future garage', 'intelligent dance music', 'scottish electronic', 'uk bass', 'wonky']",26
242,Caribou,12,"['alternative dance', 'art pop', 'electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']",56
243,Uffie,12,"['dance-punk', 'electro-pop francais', 'electroclash', 'electrofox', 'escape room', 'new rave']",39
244,Moderat,12,"['electronica', 'indietronica']",57
245,Chase & Status,12,"['dancefloor dnb', 'drum and bass', 'uk dance']",60
246,Arlo Parks,12,"['indie soul', 'uk contemporary r&b']",64
247,M¥SS KETA,12,"['italian indie pop', 'italian pop']",49
248,Hercules & Love Affair,12,"['alternative dance', 'electronica', 'indietronica', 'neo-synthpop', 'new rave']",45
249,JBEE,11,"['chill drill', 'melodic drill']",61
250,Chase Icon,11,['pink noise'],43
251,Baths,11,"['chillwave', 'indietronica', 'shimmer pop', 'wonky']",38
252,Ishmael Ensemble,11,"['experimental jazz', 'uk contemporary jazz']",42
253,NERO,11,"['complextro', 'edm', 'electro house', 'melodic dubstep']",55
254,Jadu Heart,11,"['indie soul', 'vapor soul']",55
255,Erika de Casier,11,"['alternative r&b', 'scandinavian r&b']",44
256,01099,11,['german hip hop'],69
257,Octavian,11,"['afroswing', 'london rap', 'uk hip hop']",54
258,piri,11,[],57
259,Etta Bond,11,"['alternative r&b', 'uk contemporary r&b']",42
260,Fredo,11,"['baton rouge rap', 'memphis hip hop']",58
261,HAZEY,11,[],38
262,French The Kid,11,"['chill drill', 'melodic drill', 'uk hip hop']",63
263,myst milano.,11,[],25
264,Giggs,11,"['grime', 'london rap', 'uk hip hop']",60
265,Erland Cooper,11,['neo-classical'],52
266,Jungle,11,"['indie soul', 'indietronica', 'uk contemporary r&b']",68
267,Dom & Roland,11,"['darkstep', 'drum and bass', 'drumfunk', 'neurofunk', 'uk dnb']",25
268,Logic1000,11,['ukg revival'],48
269,박혜진 Park Hye Jin,11,['korean dream pop'],42
270,Neil Young,11,"['canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",59
271,Barney Artist,11,"['indie soul', 'uk alternative hip hop']",44
272,Baby Gang,11,['trap italiana'],75
273,Dua Saleh,11,"['alternative r&b', 'minnesota hip hop', 'sudanese pop']",43
274,Totally Enormous Extinct Dinosaurs,10,"['alternative dance', 'indietronica', 'nu disco', 'oxford indie']",51
275,Metronomy,10,"['alternative dance', 'electronica', 'indietronica', 'neo-synthpop', 'new rave', 'socal pop punk']",61
276,Nemzzz,10,"['manchester hip hop', 'melodic drill']",61
277,Abra Cadabra,10,"['uk drill', 'uk hip hop']",59
278,Hervé,10,['musique guadeloupe'],32
279,SL,10,"['brooklyn drill', 'nyc rap']",76
280,Greentea Peng,10,"['alternative r&b', 'uk contemporary r&b']",56
281,Nilüfer Yanya,10,"['art pop', 'uk alternative pop']",48
282,Dutta,10,['uk dnb'],31
283,Giraffage,10,"['chillwave', 'future bass', 'vapor twitch']",47
284,Patrick Holland,10,"['canadian electronic', 'canadian house', 'float house', 'lo-fi house']",45
285,Nosaj Thing,10,"['chillwave', 'electronica', 'future garage', 'glitch hop', 'indietronica', 'intelligent dance music', 'wonky']",47
286,Armani Doc,10,['italian underground hip hop'],24
287,Anz,10,[],48
288,DARGZ,10,[],51
289,Obongjayar,10,['experimental r&b'],50
290,Arivu,10,"['desi hip hop', 'tamil pop']",54
291,Wretch 32,10,"['grime', 'uk hip hop']",55
292,O'Flynn,10,"['float house', 'future garage']",44
293,EASYFUN,10,"['escape room', 'hyperpop', 'metropopolis', 'proto-hyperpop']",29
294,Royalston,10,"['deep liquid bass', 'liquid funk']",30
295,Soft Blade,10,['russian electronic'],39
296,Big Joanie,10,"['black punk', 'bubblegrunge', 'queercore', 'riot grrrl']",29
297,Kobe JT,10,"['bristol electronic', 'ukg revival']",28
298,Clark,10,"['dance pop', 'pop', 'talent show']",74
299,Kuedo,10,"['footwork', 'purple sound', 'wonky']",26
300,Koffee,10,"['dancehall', 'dancehall queen', 'jamaican dancehall']",61
301,Summers Sons,9,['uk alternative hip hop'],47
302,Aitch,9,"['manchester hip hop', 'uk hip hop']",69
303,Rancore,9,"['italian hip hop', 'italian underground hip hop']",48
304,Jetson,9,[],55
305,Jaykae,9,"['birmingham grime', 'birmingham hip hop', 'grime', 'uk hip hop']",56
306,Eartheater,9,"['art pop', 'electra', 'escape room', 'spectra']",48
307,Gorillaz,9,"['alternative hip hop', 'modern rock', 'rock']",80
308,Wet,9,"['crank wave', 'indie rock']",62
309,Steel Banglez,9,"['afroswing', 'birmingham grime', 'grime', 'london rap', 'uk hip hop']",63
310,Feux,9,['uk alternative hip hop'],38
311,Jim Perkins,9,"['compositional ambient', 'neo-classical']",53
312,Scorcher,9,"['grime', 'uk hip hop']",33
313,FRANKIIE,9,['vancouver indie'],17
314,Berna,9,"['classic soundtrack', 'soundtrack']",50
315,Naibu,9,"['drumfunk', 'french dnb', 'liquid funk']",20
316,Potter Payper,9,"['grime', 'uk hip hop']",63
317,Skepta,9,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",72
318,Crumb,9,"['indie garage rock', 'neo-psychedelic']",60
319,John Talabot,9,"['balearic', 'electronica', 'float house', 'future garage', 'microhouse', 'minimal techno']",38
320,Doon Kanda,9,['deconstructed club'],32
321,Dark Sky,9,"['future garage', 'uk experimental electronic', 'wonky']",40
322,NAYANA IZ,9,['uk alternative hip hop'],40
323,Alice Longyu Gao,9,"['hyperpop', 'pink noise']",43
324,KH,9,"['pop', 'pop r&b']",85
325,James Heather,9,"['compositional ambient', 'focus', 'neo-classical']",57
326,Anastacia,9,[],60
327,Fantastic Mr Fox,9,"['future garage', 'wonky']",13
328,Sofia Kourtesis,9,['experimental house'],46
329,GFOTY,9,"['escape room', 'hyperpop', 'pink noise', 'proto-hyperpop']",32
330,Mungo's Hi Fi,9,"['dub punk', 'ragga jungle', 'uk reggae']",48
331,Borgore,9,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",75
332,Porij,9,[],39
333,Coops,9,"['london rap', 'uk alternative hip hop']",41
334,Jasper Tygner,9,['stutter house'],43
335,D38,9,[],52
336,George FitzGerald,9,"['electronica', 'future garage']",50
337,Rimzee,8,['uk hip hop'],49
338,serpentwithfeet,8,"['alternative r&b', 'escape room', 'experimental r&b']",53
339,DJ Gruff,8,"['rap italiano old school', 'rap sardegna']",26
340,Rasmatthew,8,[],24
341,HAAi,8,['australian experimental'],48
342,Margherita Vicario,8,"['italian indie pop', 'italian pop', 'rome indie']",43
343,SwitchOTR,8,"['chill drill', 'melodic drill']",58
344,Ragz Originale,8,['uk alternative hip hop'],45
345,SBTRKT,8,"['electronica', 'future garage', 'indie soul', 'indietronica']",55
346,Gil Scott-Heron,8,"['afrobeat', 'afropop', 'conscious hip hop', 'funk', 'jazz funk', 'political hip hop', 'slam poetry', 'soul']",51
347,Manga Saint Hilare,8,"['grime', 'uk alternative hip hop']",35
348,John Glacier,8,['experimental hip hop'],34
349,Digga D,8,"['aussie drill', 'london rap', 'melodic drill', 'uk hip hop']",66
350,Wet Leg,8,"['crank wave', 'indie rock']",62
351,Weval,8,['electronica'],50
352,Kanye West,8,"['chicago rap', 'hip hop', 'rap']",90
353,Supershy,8,[],48
354,Jockstrap,8,"['crank wave', 'london indie']",44
355,Bonobo,8,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",65
356,DC,8,"['melodic rap', 'rage rap', 'vapor trap']",59
357,letherette,8,"['future garage', 'wonky']",48
358,Avelino,8,"['grime', 'uk hip hop']",52
359,BigMama,8,"['j-rock', 'japanese alternative rock']",31
360,easy life,8,"['leicester indie', 'modern indie pop']",57
361,Krept & Konan,8,"['grime', 'uk hip hop']",58
